"filename", "language", "YAML", "Markdown", "Go", "XML", "Dockerfile", "Shell Script", "JSON", "comment", "blank", "total"
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myJson\myJson.go", "Go", 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myPgBytea\myPgBytea.go", "Go", 0, 0, 65, 0, 0, 0, 0, 0, 10, 75
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\myPgBytea\myPgBytea_test.go", "Go", 0, 0, 27, 0, 0, 0, 0, 0, 8, 35
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\pointer\main.go", "Go", 0, 0, 73, 0, 0, 0, 0, 0, 15, 88
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\regularExpression\reg.go", "Go", 0, 0, 20, 0, 0, 0, 0, 1, 7, 28
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\timeParse\main.go", "Go", 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\token\main.go", "Go", 0, 0, 279, 0, 0, 0, 0, 19, 34, 332
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\DK_Experiments\token\main_test.go", "Go", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\MyDoc\GinkgoLearningNotes.md", "Markdown", 0, 807, 0, 0, 0, 0, 0, 2, 146, 955
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\MyDoc\GinkgoOfficialDoc.md", "Markdown", 0, 156, 0, 0, 0, 0, 0, 0, 70, 226
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\db\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\gin\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\login\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\normal\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\databaseInit\ops.go", "Go", 0, 0, 45, 0, 0, 0, 0, 0, 8, 53
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\databaseInit\pgOps\pgOps.go", "Go", 0, 0, 86, 0, 0, 0, 0, 0, 12, 98
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\postgreOps\mySqlx.go", "Go", 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\postgreOps\mySqlx_test.go", "Go", 0, 0, 4, 0, 0, 0, 0, 9, 3, 16
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\redisOps\redis.go", "Go", 0, 0, 81, 0, 0, 0, 0, 20, 20, 121
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\redisOps\redis_test.go", "Go", 0, 0, 32, 0, 0, 0, 0, 0, 8, 40
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\security\loadSecurity.go", "Go", 0, 0, 32, 0, 0, 0, 0, 3, 7, 42
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\security\loadSecurity_test.go", "Go", 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\docker-compose.prod.yml", "YAML", 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\docker-compose.yml", "YAML", 47, 0, 0, 0, 0, 0, 0, 1, 5, 53
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\go.mod", "XML", 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\main.go", "Go", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\encryptPassword\encryptPassword.go", "Go", 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\genPasswd\generatePassword.go", "Go", 0, 0, 46, 0, 0, 0, 0, 4, 8, 58
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\genPasswd\generatePassword_test.go", "Go", 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\DkLog.go", "Go", 0, 0, 66, 0, 0, 0, 0, 1, 11, 78
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\loadConfig.go", "Go", 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\loadConfig_test.go", "Go", 0, 0, 1, 0, 0, 0, 0, 27, 2, 30
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\logMap.go", "Go", 0, 0, 86, 0, 0, 0, 0, 55, 35, 176
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\logMap_test.go", "Go", 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\readme.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\test.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\nodeEncode\base64_ByteArray.go", "Go", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\nodeEncode\base64_IntArray.go", "Go", 0, 0, 40, 0, 0, 0, 0, 0, 5, 45
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\nodeEncode\base64_IntArray_test.go", "Go", 0, 0, 17, 0, 0, 0, 0, 5, 4, 26
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\shortMessageService\loadSecurity.go", "Go", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\shortMessageService\messageContent.go", "Go", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\shortMessageService\sendSMS.go", "Go", 0, 0, 47, 0, 0, 0, 0, 40, 24, 111
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\shortMessageService\sendSMS_test.go", "Go", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\Dockerfile", "Dockerfile", 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\authority\authApplication\authApplication.go", "Go", 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\authority\authGeneralFormDraftCRUD\generalFormDraftCRUD.go", "Go", 0, 0, 63, 0, 0, 0, 0, 3, 10, 76
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\authority\authUserCRUD\userCRUD.go", "Go", 0, 0, 100, 0, 0, 0, 0, 3, 12, 115
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDB\applicationDB.go", "Go", 0, 0, 32, 0, 0, 0, 0, 0, 11, 43
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDB\applicationDB_suite_test.go", "Go", 0, 0, 24, 0, 0, 0, 0, 0, 8, 32
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDB\applicationDB_test.go", "Go", 0, 0, 168, 0, 0, 0, 0, 3, 22, 193
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDB\applicationPg.go", "Go", 0, 0, 194, 0, 0, 0, 0, 2, 17, 213
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\generalFormDraftDB\generalFormDraftDB.go", "Go", 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\generalFormDraftDB\generalFormDraftDB_test.go", "Go", 0, 0, 72, 0, 0, 0, 0, 0, 12, 84
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\generalFormDraftDB\generalFormDraftPg.go", "Go", 0, 0, 54, 0, 0, 0, 0, 0, 10, 64
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDB\projectDB.go", "Go", 0, 0, 21, 0, 0, 0, 0, 1, 7, 29
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDB\projectDM.go", "Go", 0, 0, 14, 0, 0, 0, 0, 1, 6, 21
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDB\projectPg.go", "Go", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDM\projectDM.go", "Go", 0, 0, 8, 0, 0, 0, 0, 14, 9, 31
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDM\projectDMv1.go", "Go", 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\postgre.go", "Go", 0, 0, 83, 0, 0, 0, 0, 3, 13, 99
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\userDB.go", "Go", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\userDB_suite_test.go", "Go", 0, 0, 24, 0, 0, 0, 0, 0, 8, 32
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\userDB_test.go", "Go", 0, 0, 76, 0, 0, 0, 0, 9, 11, 96
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\userDB_test.json", "JSON", 0, 0, 0, 0, 0, 0, 48, 0, 0, 48
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDM\memoryMap.go", "Go", 0, 0, 199, 0, 0, 0, 0, 21, 42, 262
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDM\userDM.go", "Go", 0, 0, 14, 0, 0, 0, 0, 0, 8, 22
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\config\loadConfig.go", "Go", 0, 0, 52, 0, 0, 0, 0, 1, 9, 62
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\config\loadConfig_test.go", "Go", 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\redisAndJwt.go", "Go", 0, 0, 123, 0, 0, 0, 0, 5, 27, 155
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\security\loadSecurity.go", "Go", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\userTempDM.go", "Go", 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\entrypoint.prod.sh", "Shell Script", 0, 0, 0, 0, 0, 9, 0, 1, 4, 14
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\entrypoint.sh", "Shell Script", 0, 0, 0, 0, 0, 10, 0, 1, 6, 17
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\extractLoginUserInfo\extract.go", "Go", 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleGeneralFormDraft\generalFormDraftCRUD.go", "Go", 0, 0, 241, 0, 0, 0, 0, 15, 37, 293
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleLogin\applyLogin.go", "Go", 0, 0, 94, 0, 0, 0, 0, 12, 18, 124
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleLogin\login.go", "Go", 0, 0, 76, 0, 0, 0, 0, 11, 18, 105
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleLogin\logout.go", "Go", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleProRes\projectAndResource.go", "Go", 0, 0, 48, 0, 0, 0, 0, 15, 15, 78
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleUser\allUsers.go", "Go", 0, 0, 56, 0, 0, 0, 0, 0, 8, 64
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleUser\retrieveUserLogin.go", "Go", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleUser\userCRUD.go", "Go", 0, 0, 248, 0, 0, 0, 0, 14, 37, 299
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\infrastructure\infrastructure.go", "Go", 0, 0, 90, 0, 0, 0, 0, 12, 22, 124
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\middleware\logGin.go", "Go", 0, 0, 26, 0, 0, 0, 0, 12, 13, 51
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\middleware\tokenAuth.go", "Go", 0, 0, 25, 0, 0, 0, 0, 2, 3, 30
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\application\application.go", "Go", 0, 0, 77, 0, 0, 0, 0, 3, 11, 91
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\generalFormDraft\generalFormDraft.go", "Go", 0, 0, 17, 0, 0, 0, 0, 1, 4, 22
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\generalForm\generalForm.go", "Go", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\gfApplication\gfApplication.go", "Go", 0, 0, 26, 0, 0, 0, 0, 6, 8, 40
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\metering\metering.go", "Go", 0, 0, 41, 0, 0, 0, 0, 0, 9, 50
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\project\project.go", "Go", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\project\projectDynamic.go", "Go", 0, 0, 66, 0, 0, 0, 0, 1, 10, 77
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\resource\resource.go", "Go", 0, 0, 35, 0, 0, 0, 0, 0, 8, 43
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\statusActionMap\statusActionMap.go", "Go", 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\user\checkUserName.go", "Go", 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\user\checkUserName_test.go", "Go", 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\user\user.go", "Go", 0, 0, 50, 0, 0, 0, 0, 10, 16, 76
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\user\user_test.go", "Go", 0, 0, 1, 0, 0, 0, 0, 52, 2, 55
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\server.go", "Go", 0, 0, 44, 0, 0, 0, 0, 2, 12, 58
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\ApplyChangeResource\apply.go", "Go", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\ApplyProjectAndResource\apply.go", "Go", 0, 0, 197, 0, 0, 0, 0, 18, 30, 245
"c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\generalWorkflow.go", "Go", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"Total", "-", 151, 986, 4496, 122, 12, 19, 48, 459, 1177, 7470
