Date : 2020-10-08 20:25:53
Directory : c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo
Total : 248 files,  18791 codes, 1170 comments, 3119 blanks, all 23080 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNode\json.go                                             | Go               |         26 |          0 |          5 |         31 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resGNode\resGNode.go                                         | Go               |          7 |          1 |          2 |         10 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeGroup\groupCopy.go                                    | Go               |         28 |          4 |          7 |         39 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeGroup\groupCount.go                                   | Go               |         54 |          0 |         10 |         64 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeGroup\groupJson.go                                    | Go               |         26 |          0 |          5 |         31 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeGroup\groupNode.go                                    | Go               |         15 |          0 |          4 |         19 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\resNodeTree_suite_test.go                        | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\resNodeTree_test.go                              | Go               |         98 |          0 |         20 |        118 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\tree.go                                          | Go               |         11 |          0 |          4 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeCopy.go                                      | Go               |         15 |          0 |          5 |         20 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeCount.go                                     | Go               |         12 |          0 |          4 |         16 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeFiltrate.go                                  | Go               |         52 |          4 |         10 |         66 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeJson.go                                      | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNodeTree\treeLoad.go                                      | Go               |         90 |          7 |         15 |        112 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\model\resNode\resNode.go                                           | Go               |         35 |          1 |          8 |         44 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resMetering\cronMeteringTask\cronMeteringTask.go                   | Go               |         15 |         20 |          8 |         43 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resMetering\meteringComputation\meteringComputation.go             | Go               |         61 |          9 |         14 |         84 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resScheduling\resSch_test.go                                       | Go               |         72 |          0 |         16 |         88 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resScheduling\resScheduling.go                                     | Go               |        340 |         24 |         55 |        419 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\ResourceSM\resScheduling\resScheduling_suite_test.go                          | Go               |         63 |          0 |         15 |         78 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\db\readme.md                                                           | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\gin\readme.md                                                          | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\login\readme.md                                                        | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsLog\normal\readme.md                                                       | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsSchMetLog\db\readme.md                                                     | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\RmsSchMetLog\normal\readme.md                                                 | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\databaseInit\pgOpsSqlx\createTable.go                                         | Go               |         36 |          0 |          8 |         44 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\databaseInit\pgOpsSqlx\ops.go                                                 | Go               |         44 |          1 |          9 |         54 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\databaseInit\pgOpsSqlx\seedTable.go                                           | Go               |        113 |          2 |         15 |        130 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\postgreOpsGorm\myGorm.go                                       | Go               |         20 |          0 |          6 |         26 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\postgreOpsSqlx\mySqlx.go                                       | Go               |         26 |          0 |          6 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\postgreOpsSqlx\mySqlx_test.go                                  | Go               |          4 |          9 |          3 |         16 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\redisOps\redis.go                                              | Go               |         81 |         20 |         20 |        121 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\redisOps\redis_test.go                                         | Go               |         32 |          0 |          8 |         40 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\security\loadSecurity.go                                       | Go               |         32 |          3 |          7 |         42 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\datebaseCommon\security\loadSecurity_test.go                                  | Go               |         29 |          0 |          6 |         35 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\docker-compose.prod.yml                                                       | YAML             |         35 |          0 |          3 |         38 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\docker-compose.yml                                                            | YAML             |         67 |          1 |          5 |         73 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\go.mod                                                                        | XML              |         36 |          0 |          3 |         39 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\main.go                                                                       | Go               |         23 |          0 |          4 |         27 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\arrayMerge\arrayMerge_suite_test.go                                   | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\arrayMerge\computeChange.go                                           | Go               |        145 |         12 |         18 |        175 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\arrayMerge\computeChange_test.go                                      | Go               |        173 |          0 |         50 |        223 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\arrayMerge\sort.go                                                    | Go               |         16 |          0 |          6 |         22 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\deepCopy\deepCopy.go                                                  | Go               |         12 |          0 |          3 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\encryptPassword\encryptPassword.go                                    | Go               |         20 |          0 |          4 |         24 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\genPasswd\generatePassword.go                                         | Go               |         46 |          4 |          8 |         58 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\genPasswd\generatePassword_test.go                                    | Go               |         19 |          0 |          6 |         25 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\DkLog.go                                                       | Go               |         66 |          1 |         11 |         78 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\loadConfig.go                                                  | Go               |         17 |          0 |          3 |         20 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\loadConfig_test.go                                             | Go               |          1 |         27 |          2 |         30 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\logMap.go                                                      | Go               |         86 |         55 |         35 |        176 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\logMap_test.go                                                 | Go               |         14 |          0 |          4 |         18 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\readme.md                                                      | Markdown         |          3 |          0 |          2 |          5 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\logMap\test.yaml                                                      | YAML             |          4 |          0 |          0 |          4 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\nodeEncode\base64_ByteArray.go                                        | Go               |          9 |          0 |          4 |         13 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\nodeEncode\base64_IntArray.go                                         | Go               |         48 |          0 |          6 |         54 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\nodeEncode\base64_IntArray_test.go                                    | Go               |         17 |          5 |          4 |         26 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\shortMessageService\loadSecurity.go                                   | Go               |         25 |          0 |          4 |         29 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\shortMessageService\messageContent.go                                 | Go               |          6 |          0 |          2 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\shortMessageService\sendSMS.go                                        | Go               |         59 |         40 |         25 |        124 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\shortMessageService\sendSMS_test.go                                   | Go               |         16 |          0 |          5 |         21 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\timeParse\hoursToDays.go                                              | Go               |          5 |          0 |          3 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\timeParse\timeParse.go                                                | Go               |         28 |          1 |          9 |         38 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\timeParse\timeParse_suite_test.go                                     | Go               |         10 |          0 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\timeParse\timeParse_test.go                                           | Go               |         32 |          0 |         11 |         43 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\myUtils\webapiError\webapiError.go                                            | Go               |         35 |          0 |          8 |         43 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\Dockerfile                                                             | Docker           |         12 |          0 |          7 |         19 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\SmsNotifier\format.md                                                  | Markdown         |          6 |          0 |          2 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\SmsNotifier\smsNotifier.go                                             | Go               |        113 |          0 |         24 |        137 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\authority\authApplication\authApplication.go                           | Go               |        100 |          3 |         13 |        116 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\authority\authGeneralFormDraftCRUD\generalFormDraftCRUD.go             | Go               |         63 |          3 |         10 |         76 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\authority\authProject\authProject.go                                   | Go               |        103 |          3 |         13 |        119 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\authority\authUserCRUD\userCRUD.go                                     | Go               |        100 |          3 |         12 |        115 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDB\applicationDB.go                               | Go               |         26 |          0 |         11 |         37 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDB\applicationDB_suite_test.go                    | Go               |         24 |          0 |          8 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDB\applicationDB_test.go                          | Go               |        254 |          6 |         31 |        291 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDB\applicationPg.go                               | Go               |         95 |          1 |         15 |        111 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDM\applicationDM.go                               | Go               |         21 |          0 |          9 |         30 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDM\applicationDM_suite_test.go                    | Go               |         33 |          0 |          9 |         42 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDM\forHistory.go                                  | Go               |         64 |          0 |         13 |         77 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDM\memoryMap.go                                   | Go               |        117 |          2 |         26 |        145 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\applicationDM\memoryMap_test.go                              | Go               |        256 |          6 |         31 |        293 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\generalFormDraftDB\generalFormDraftDB.go                     | Go               |         11 |          0 |          4 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\generalFormDraftDB\generalFormDraftDB_test.go                | Go               |         71 |          0 |         12 |         83 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\generalFormDraftDB\generalFormDraftPg.go                     | Go               |         54 |          0 |         10 |         64 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDB\projectDB.go                                       | Go               |         27 |          2 |          8 |         37 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDB\projectDB_suite_test.go                            | Go               |         24 |          0 |          8 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDB\projectDB_test.go                                  | Go               |        184 |         13 |         51 |        248 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDB\projectPg.go                                       | Go               |        146 |          2 |         24 |        172 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDM\forHistory.go                                      | Go               |         37 |          0 |         10 |         47 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDM\memoryMap.go                                       | Go               |        183 |         14 |         54 |        251 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDM\memoryMap_test.go                                  | Go               |        184 |         13 |         52 |        249 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDM\projectDM.go                                       | Go               |         24 |          1 |          7 |         32 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectDM\projectDM_suite_test.go                            | Go               |         31 |          1 |          9 |         41 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectResDM\projectResDM.go                                 | Go               |         20 |          1 |          5 |         26 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\projectResDM\projectResGRpc.go                               | Go               |         86 |          2 |         18 |        106 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\postgre.go                                            | Go               |         83 |          3 |         13 |         99 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\userDB.go                                             | Go               |         14 |          0 |          3 |         17 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\userDB_suite_test.go                                  | Go               |         23 |          0 |          8 |         31 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\userDB_test.go                                        | Go               |         76 |          9 |         11 |         96 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDB\userDB_test.json                                      | JSON             |         48 |          0 |          0 |         48 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDM\memoryMap.go                                          | Go               |        199 |         21 |         42 |        262 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userDM\userDM.go                                             | Go               |         14 |          0 |          8 |         22 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\config\loadConfig.go                              | Go               |         52 |          1 |          9 |         62 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\config\loadConfig_test.go                         | Go               |         11 |          0 |          4 |         15 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\redisAndJwt.go                                    | Go               |        123 |          5 |         27 |        155 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\security\loadSecurity.go                          | Go               |         16 |          0 |          5 |         21 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\dataInfra\userTempDM\userTempDM.go                                     | Go               |         12 |          0 |          5 |         17 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\entrypoint.prod.sh                                                     | Shell Script     |          9 |          1 |          4 |         14 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\entrypoint.sh                                                          | Shell Script     |         10 |          1 |          6 |         17 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\extractLoginUserInfo\extract.go                                 | Go               |         43 |         26 |          9 |         78 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleApplication\handleApp.go                                  | Go               |        377 |          3 |         59 |        439 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleGeneralFormDraft\generalFormDraftCRUD.go                  | Go               |        243 |         15 |         37 |        295 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleLogin\applyLogin.go                                       | Go               |         95 |         12 |         18 |        125 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleLogin\login.go                                            | Go               |         76 |         11 |         18 |        105 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleLogin\logout.go                                           | Go               |         12 |          0 |          4 |         16 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleProjectRes\handleProjectRes.go                            | Go               |        219 |          6 |         38 |        263 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleProject\queryProject.go                                   | Go               |        144 |          0 |         20 |        164 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleProject\updateAllocInfo.go                                | Go               |         42 |          1 |          8 |         51 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleUser\allUsers.go                                          | Go               |         56 |          0 |          8 |         64 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleUser\retrieveUserLogin.go                                 | Go               |         23 |          0 |          4 |         27 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\handle\handleUser\userCRUD.go                                          | Go               |        247 |         14 |         37 |        298 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\infrastructure\infrastructure.go                                       | Go               |        125 |         23 |         32 |        180 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\middleware\logGin.go                                                   | Go               |         26 |         12 |         13 |         51 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\middleware\tokenAuth.go                                                | Go               |         25 |          2 |          3 |         30 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\application\appConst.go                                          | Go               |         21 |          0 |          7 |         28 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\application\application.go                                       | Go               |         74 |          3 |         11 |         88 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\generalFormDraft\generalFormDraft.go                             | Go               |         17 |          1 |          4 |         22 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\generalForm\generalForm.go                                       | Go               |          9 |          0 |          2 |         11 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\gfApplication\gfApplication.go                                   | Go               |         90 |          3 |         20 |        113 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\project\info.go                                                  | Go               |         71 |          6 |         18 |         95 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\project\updateInfo.go                                            | Go               |         41 |          0 |          8 |         49 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\resource\resource.go                                             | Go               |          6 |          0 |          2 |          8 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\user\checkUserName.go                                            | Go               |         12 |          1 |          6 |         19 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\user\checkUserName_test.go                                       | Go               |         27 |          0 |          4 |         31 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\user\user.go                                                     | Go               |         50 |         10 |         16 |         76 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\model\user\user_test.go                                                | Go               |          1 |         52 |          2 |         55 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\server.go                                                              | Go               |         98 |          2 |         18 |        118 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\applyChangeResource\ApplyChangeResource_suite_test.go         | Go               |         38 |          3 |         14 |         55 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\applyChangeResource\workflow.go                               | Go               |        339 |         44 |         46 |        429 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\applyChangeResource\workflow_test.go                          | Go               |        120 |         60 |         17 |        197 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\applyProjectAndResource\ApplyProjectAndResource_suite_test.go | Go               |         39 |          2 |         14 |         55 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\applyProjectAndResource\workflow.go                           | Go               |        357 |         35 |         50 |        442 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\applyProjectAndResource\workflow_test.go                      | Go               |        164 |          4 |         24 |        192 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\applyReturnComputeRes\workflow.go                             | Go               |        279 |         35 |         42 |        356 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\applyReturnStorageRes\workflow.go                             | Go               |        301 |         33 |         42 |        376 |
| c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo\webapi\workflow\generalWorkflow.go                                            | Go               |         84 |          6 |         17 |        107 |
| Total                                                                                                                          |                  |     18,791 |      1,170 |      3,119 |     23,080 |
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
